Title,Artist,Release Date,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,RND,
Blow Me,The Used,12/6/2019,90,95,39,-3,42,3:21,0,19,5733,
Hell on Earth,Rezz,12/3/2019,180,92,60,-3,28,3:05,0,48,7447,
Nü Shoes,Wes Period,12/6/2019,100,76,79,-3,74,2:43,4,1,708,
NATURE,Elley Duhé,12/6/2019,124,67,73,-8,36,3:07,2,18,3191,
Good On You,Krewella,12/3/2019,110,73,70,-6,19,2:39,5,49,3399,
Back To You,iamnotshane,12/4/2019,116,62,91,-9,71,2:40,4,27,3966,
Stronger,Alex Ebert,12/4/2019,100,49,67,-10,56,3:21,47,16,9307,
‎old ‎fast,maxime.,12/6/2019,110,37,92,-10,37,2:04,0,2,9239,
ICIMY,Phoebe Ryan,12/6/2019,140,69,69,-4,55,3:22,8,14,7370,
Paint California,NoMBe,12/4/2019,135,54,70,-8,47,3:27,1,30,2218,
Circulation,Jonah Mutono,12/3/2019,143,57,37,-7,23,3:57,20,29,8511,
City We From,CJ Fly,12/6/2019,150,87,46,-4,70,3:25,49,4,6307,
Off Top,Poundside Pop,12/6/2019,142,44,85,-8,11,2:32,21,0,7599,
Don't I,Kierra Luv,12/4/2019,110,56,98,-7,44,2:12,6,35,8826,
BOTH SIDES,Kilo Kish,12/6/2019,115,87,59,-4,45,4:14,0,4,8437,
Holding Me,Beshken,12/4/2019,90,61,74,-8,17,3:00,5,35,4485,
Light On,DOUBLECAMP,12/6/2019,180,73,60,-4,63,3:02,1,1,6483,
Alive Right Now,Brad Paisley,12/2/2019,146,72,42,-4,33,3:11,9,40,1908,
Detour,The Who,12/6/2019,88,88,58,-6,33,3:46,6,18,8853,
Inside Out,Five Finger Death Punch,12/2/2019,83,99,48,-3,20,3:46,0,62,4637,
Say It Now,Nick Wilson,12/5/2019,132,43,63,-11,27,3:23,44,18,2148,
Too Much To H8,Paige,12/6/2019,82,36,81,-9,39,2:52,77,25,5549,
still ain't you (feat. Nea),Steve James,12/6/2019,122,55,76,-10,51,2:14,0,9,3705,
Typa Luv,D. Muñoz,12/6/2019,96,49,65,-7,25,2:11,54,0,4045,
PSYKENIGHT,Lancey Foux,12/6/2019,140,85,80,-10,65,2:29,5,8,9519,
How I'm Leaving,Westside Tut,12/6/2019,150,53,69,-10,34,3:15,12,0,4097,
Can I Live,JAY-Z,6/25/1996,76,69,62,-12,58,4:09,8,47,6259,
