Title,Artist,Release Date,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,RND
Feel Something Good,Biltmore,4/20/2019,172,96,53,-5,65,3:10,0,56,7884
Murder,Mako,6/22/2018,98,65,64,-6,37,3:09,28,52,2996
Sunset Lover,Petit Biscuit,11/10/2017,91,53,79,-8,25,3:59,67,73,3573
We Were Young (DROELOE Remix),Petit Biscuit,7/25/2019,116,67,77,-6,34,3:04,5,39,9746
Goodbyes (Feat. Young Thug),Post Malone,7/5/2019,150,65,58,-4,18,2:55,45,68,638
Takeaway (feat. Lennon Stella),The Chainsmokers,7/24/2019,85,51,29,-8,36,3:30,12,83,1648
Temporary,Ella Vos,1/18/2019,87,36,72,-8,35,2:32,3,63,3390
Neon Moon,Brooks & Dunn,9/8/2009,102,63,70,-7,46,4:24,55,69,9517
Any Man Of Mine,Shania Twain,1/1/1995,78,73,59,-9,78,4:07,21,69,54
Time Marches On,Tracy Lawrence,1/2/1996,118,52,86,-9,48,3:05,56,65,8326
Everywhere,Tim McGraw,6/3/1997,103,62,62,-9,46,4:51,43,58,8768
"Forever and Ever, Amen",Randy Travis,4/28/1987,90,72,68,-9,70,3:33,14,68,1932
Chattahoochee,Alan Jackson,10/9/1992,175,71,61,-10,82,2:28,36,67,3280
John Deere Green,Joe Diffie,1990,130,82,69,-6,77,4:33,15,61,8799
She Used to Be Mine,Brooks & Dunn,4/17/2012,173,57,49,-6,30,3:56,26,58,7388
Wink,Neal McCoy,1/18/1994,118,85,71,-6,93,2:42,8,59,950
Walkaway Joe,Trisha Yearwood,1/1/1992,114,41,62,-10,43,4:21,89,57,4688
Meet In the Middle,Diamond Rio,1991,91,44,75,-11,55,3:18,66,67,4602
"Next To You, Next To Me",Shenandoah,1/1/1996,94,71,65,-8,92,3:26,42,59,3159
"Heads Carolina, Tails California",Jo Dee Messina,4/2/1996,137,82,61,-7,57,3:30,5,63,4885
Fancy,Reba McEntire,1/1/2006,95,54,68,-10,51,4:56,20,61,3239
Watermelon Crawl,Tracy Byrd,1/1/1994,137,72,76,-9,96,3:02,17,64,1785
Past The Point Of Rescue,Hal Ketchum,4/29/1991,184,77,44,-6,79,4:27,24,57,138
Should've Been A Cowboy,Toby Keith,1/1/1993,133,67,62,-8,69,3:31,47,10,5018
If I Could Make a Living,Clay Walker,9/16/1994,156,75,60,-7,91,2:14,19,59,5406
Too Much Fun,Daryle Singletary,5/20/1995,152,89,68,-5,80,2:44,12,58,4816
Brand New Man,Brooks & Dunn,9/8/2009,128,76,64,-4,65,2:59,9,63,4177
Check Yes Or No,George Strait,1/1/1995,111,52,71,-13,69,3:21,6,69,6200
Two Dozen Roses,Shenandoah,1/1/1996,121,65,69,-9,60,3:24,31,62,9970
I'm in a Hurry (And Don't Know Why),Alabama,1980,129,72,75,-8,86,2:49,24,63,7137
Man! I Feel Like A Woman!,Shania Twain,11/4/1997,125,64,66,-8,67,3:54,58,75,7314
Small Town Saturday Night,Hal Ketchum,4/29/1991,154,70,63,-7,93,2:58,22,61,828
Far from the Sanctuary,Metalite,8/23/2019,95,94,46,-6,34,4:17,0,47,8028
End of the Line,Freternia,6/14/2019,82,89,39,-4,34,6:14,0,35,1367
Mary Leigh,Eclipse,9/20/2019,127,97,54,-5,38,3:06,0,39,6498
111 – the Number of the Angels,Freedom Call,6/21/2019,76,97,44,-3,54,3:51,0,39,6925
Out of My Life,Cyhra,9/27/2019,140,95,45,-7,37,3:17,0,35,6913
My Demons Can't Sleep,Temperance,11/21/2019,180,96,36,-6,26,3:58,0,16,7068
One against the World,Hammerfall,6/27/2019,100,88,27,-6,18,3:53,0,16,4530
Detonate,Starkill,4/17/2019,178,98,35,-3,19,3:49,0,39,1181
Starlight,Avantasia,2/1/2019,96,93,55,-3,52,3:39,0,40,2162
Cold,Sonata Arctica,8/23/2019,120,85,50,-6,49,4:29,17,31,8634
Break Free (Theme from Rai),A Sound of Thunder,11/19/2019,129,98,45,-3,30,5:05,0,42,5763
Night of the Hunter,Astral Doors,4/12/2019,160,98,46,-5,24,4:42,0,35,7810
Unkindled Flame,Pectora,5/3/2019,145,98,49,-3,48,5:00,0,34,1866
Outcasts of Eden,Veonity,11/9/2018,115,97,55,-4,63,4:32,0,33,2836
Higher,NorthTale,6/7/2019,120,99,52,-4,37,3:45,0,18,5181
Shuriken Shutdown,Victorius,11/22/2019,178,99,39,-3,29,3:34,0,12,8846
Louder Than Loud,The Rods,5/3/2019,140,99,48,-5,26,4:16,0,31,6718
Spirit of Daedalus,Freedom Call,8/16/2019,164,92,41,-3,40,3:50,0,36,4367
Bring The Rain,Surrender The Crown,3/29/2019,142,96,54,-3,51,3:26,0,40,838
Slavedriver,Pretty Maids,11/8/2019,107,87,52,-10,35,4:49,0,38,2675
When the Stars Are Right - Single Edit,Serious Black,12/3/2019,83,97,17,-6,14,3:42,0,9,2996
The Oracle,Avalanch,2/15/2019,106,98,54,-3,38,4:57,0,33,9886
"The Earth, the Moon, the Sun",Diviner,5/3/2019,116,97,53,-4,15,5:21,0,31,3658
Until We Fall,Starkill,8/24/2018,100,98,45,-4,7,3:31,0,33,5562
The Final Theory (Demo),Helion Prime,9/12/2019,170,92,41,-6,31,4:22,0,39,1315
